record_id,market_id,market_name,state,district,commodity,standard_commodity,variety,grade,min_price,modal_price,max_price,standard_unit,date,source,source_type,verified_at
LIVE_NASHIK_20260829_PIMPALGAON_BASWANT,NASHIK_PB,Pimpalgaon Baswant APMC,Maharashtra,Nashik,Onion,Onion,Unhali,Local,700,4200,4991,Quintal,2026-08-29,Open Government Data Platform India (as reported by MandiPulse current official-record sync),government_source_derived_current_snapshot,2026-08-29
LIVE_NASHIK_20260829_YEOLA,NASHIK_YEOLA,Yeola APMC,Maharashtra,Nashik,Onion,Onion,Unhali,Local,571,3600,4190,Quintal,2026-08-29,Open Government Data Platform India (as reported by MandiPulse current official-record sync),government_source_derived_current_snapshot,2026-08-29
