state,apmc,commodity,min_price,modal_price,max_price,commodity_arrivals,commodity_traded,unit,date
Maharashtra,Lasalgaon APMC,Onion,700,2250,2651,,,Quintal,2026-07-17
Maharashtra,Lasalgaon APMC,Onion,800,2370,2801,,,Quintal,2026-07-16
Maharashtra,Lasalgaon APMC,Onion,700,2200,2706,,,Quintal,2026-07-15
Maharashtra,Lasalgaon APMC,Onion,700,2175,2701,,,Quintal,2026-07-14
Maharashtra,Lasalgaon APMC,Onion,700,2200,2700,,,Quintal,2026-07-13
Maharashtra,Lasalgaon APMC,Onion,700,2151,2591,,,Quintal,2026-07-11
Maharashtra,Lasalgaon APMC,Onion,600,2051,2651,,,Quintal,2026-07-10
Maharashtra,Lasalgaon APMC,Onion,700,2200,2700,,,Quintal,2026-07-09
Maharashtra,Lasalgaon APMC,Onion,700,2260,2700,,,Quintal,2026-07-08
Maharashtra,Lasalgaon APMC,Onion,700,2250,2700,,,Quintal,2026-07-07
Maharashtra,Lasalgaon APMC,Onion,800,2250,2753,,,Quintal,2026-07-06
Maharashtra,Lasalgaon APMC,Onion,800,2251,2700,,,Quintal,2026-07-04
Maharashtra,Lasalgaon APMC,Onion,700,2200,2700,,,Quintal,2026-07-03
Maharashtra,Lasalgaon APMC,Onion,700,2175,2740,,,Quintal,2026-07-02
Maharashtra,Lasalgaon APMC,Onion,800,2200,2640,,,Quintal,2026-07-01
Maharashtra,Lasalgaon APMC,Onion,800,2200,2652,,,Quintal,2026-06-30
Maharashtra,Lasalgaon APMC,Onion,700,2225,2626,,,Quintal,2026-06-29
Maharashtra,Lasalgaon APMC,Onion,700,2200,2551,,,Quintal,2026-06-27
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1200,4000,4552,,,Quintal,2026-08-25
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1200,4300,4712,,,Quintal,2026-08-24
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1000,3700,4020,,,Quintal,2026-08-22
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1000,3600,4101,,,Quintal,2026-08-21
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1000,3450,3952,,,Quintal,2026-08-20
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1000,3600,4001,,,Quintal,2026-08-19
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1200,3700,4116,,,Quintal,2026-08-18
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1000,3250,3521,,,Quintal,2026-08-17
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1000,2900,3251,,,Quintal,2026-08-14
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1000,2775,3200,,,Quintal,2026-08-13
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,900,2575,2953,,,Quintal,2026-08-12
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2475,2681,,,Quintal,2026-08-11
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,600,2300,2752,,,Quintal,2026-08-10
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,600,2200,2700,,,Quintal,2026-08-08
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,600,2150,2525,,,Quintal,2026-08-07
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,600,2200,2690,,,Quintal,2026-08-06
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,600,2125,2552,,,Quintal,2026-08-05
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,600,2150,2505,,,Quintal,2026-08-04
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,600,2100,2501,,,Quintal,2026-08-03
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,600,2050,2560,,,Quintal,2026-07-31
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,600,2050,2400,,,Quintal,2026-07-30
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2000,2303,,,Quintal,2026-07-29
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2050,2325,,,Quintal,2026-07-28
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2100,2355,,,Quintal,2026-07-27
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2050,2370,,,Quintal,2026-07-24
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2050,2525,,,Quintal,2026-07-23
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2000,2520,,,Quintal,2026-07-22
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2025,2501,,,Quintal,2026-07-21
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2100,2500,,,Quintal,2026-07-20
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2150,2540,,,Quintal,2026-07-18
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2200,2800,,,Quintal,2026-07-17
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2200,2600,,,Quintal,2026-07-16
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2150,2516,,,Quintal,2026-07-15
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2200,2751,,,Quintal,2026-07-14
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2150,2500,,,Quintal,2026-07-13
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,600,2150,2801,,,Quintal,2026-07-11
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2150,2801,,,Quintal,2026-07-10
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2200,2621,,,Quintal,2026-07-09
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2250,2792,,,Quintal,2026-07-08
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,700,2250,2570,,,Quintal,2026-07-07
