file_name,unit_values,unknown_unit_count,status
reference/emergency_event_types.csv,N/A,0,PASS
reference/fpo_directory.csv,N/A,0,PASS
reference/mandi_directory_demo.csv,N/A,0,PASS
reference/market_coordinates.csv,N/A,0,PASS
reference/market_master.csv,N/A,0,PASS
reference/offline_sync_policy.csv,N/A,0,PASS
reference/scheme_eligibility_rules.csv,N/A,0,PASS
reference/status_codebook.csv,N/A,0,PASS
reference/support_program_catalog.csv,N/A,0,PASS
reference/transaction_statuses.csv,N/A,0,PASS
reference/transport_rate_cards.csv,INR/km,0,PASS
reference/unit_conversion_rules.csv,% | INR/km | KG | QUINTAL | Quintal,0,PASS
reference/vehicle_emission_factors.csv,N/A,0,PASS
