forecast_id,market_id,market_name,commodity,forecast_date,predicted_modal_price,lower_bound,upper_bound,confidence,method
FC0001,M001,Lasalgaon APMC,Onion,2026-08-23,2960.57,2664.51,3256.63,LOW,BASELINE_14_DAY_MEAN_NOT_TRAINED_ML
FC0002,M001,Lasalgaon APMC,Onion,2026-08-24,2960.57,2664.51,3256.63,LOW,BASELINE_14_DAY_MEAN_NOT_TRAINED_ML
FC0003,M001,Lasalgaon APMC,Onion,2026-08-25,2960.57,2664.51,3256.63,LOW,BASELINE_14_DAY_MEAN_NOT_TRAINED_ML
FC0004,M001,Lasalgaon APMC,Onion,2026-08-26,2960.57,2664.51,3256.63,LOW,BASELINE_14_DAY_MEAN_NOT_TRAINED_ML
FC0005,M001,Lasalgaon APMC,Onion,2026-08-27,2960.57,2664.51,3256.63,LOW,BASELINE_14_DAY_MEAN_NOT_TRAINED_ML
FC0006,M001,Lasalgaon APMC,Onion,2026-08-28,2960.57,2664.51,3256.63,LOW,BASELINE_14_DAY_MEAN_NOT_TRAINED_ML
FC0007,M001,Lasalgaon APMC,Onion,2026-08-29,2960.57,2664.51,3256.63,LOW,BASELINE_14_DAY_MEAN_NOT_TRAINED_ML
