record_id,state,district,apmc,commodity,commodity_variety,min_price,modal_price,max_price,commodity_arrivals,commodity_traded,unit,date,source,ingested_at
AGM00038,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,800,2870,3202,,,Quintal,2026-08-14,AGMARKNET-attributed observed market data,2026-08-26
AGM00039,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,1000,3360,3641,,,Quintal,2026-08-17,AGMARKNET-attributed observed market data,2026-08-26
AGM00040,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,1000,3700,4051,,,Quintal,2026-08-18,AGMARKNET-attributed observed market data,2026-08-26
AGM00041,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,1000,3600,4000,,,Quintal,2026-08-19,AGMARKNET-attributed observed market data,2026-08-26
AGM00042,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,900,3551,4101,,,Quintal,2026-08-20,AGMARKNET-attributed observed market data,2026-08-26
AGM00043,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,1000,3700,4321,,,Quintal,2026-08-21,AGMARKNET-attributed observed market data,2026-08-26
AGM00044,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,1000,3951,4280,,,Quintal,2026-08-22,AGMARKNET-attributed observed market data,2026-08-26
AGM00045,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2250,2570,,,Quintal,2026-07-07,AGMARKNET-attributed observed market data,2026-08-26
AGM00046,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2250,2792,,,Quintal,2026-07-08,AGMARKNET-attributed observed market data,2026-08-26
AGM00047,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2200,2621,,,Quintal,2026-07-09,AGMARKNET-attributed observed market data,2026-08-26
AGM00048,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2150,2801,,,Quintal,2026-07-10,AGMARKNET-attributed observed market data,2026-08-26
AGM00049,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,600,2150,2801,,,Quintal,2026-07-11,AGMARKNET-attributed observed market data,2026-08-26
AGM00050,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2150,2500,,,Quintal,2026-07-13,AGMARKNET-attributed observed market data,2026-08-26
AGM00051,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2200,2751,,,Quintal,2026-07-14,AGMARKNET-attributed observed market data,2026-08-26
AGM00052,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2150,2516,,,Quintal,2026-07-15,AGMARKNET-attributed observed market data,2026-08-26
AGM00053,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2200,2600,,,Quintal,2026-07-16,AGMARKNET-attributed observed market data,2026-08-26
AGM00054,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2200,2800,,,Quintal,2026-07-17,AGMARKNET-attributed observed market data,2026-08-26
AGM00055,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2150,2540,,,Quintal,2026-07-18,AGMARKNET-attributed observed market data,2026-08-26
AGM00056,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2100,2500,,,Quintal,2026-07-20,AGMARKNET-attributed observed market data,2026-08-26
AGM00057,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2025,2501,,,Quintal,2026-07-21,AGMARKNET-attributed observed market data,2026-08-26
AGM00058,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2000,2520,,,Quintal,2026-07-22,AGMARKNET-attributed observed market data,2026-08-26
AGM00059,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2050,2525,,,Quintal,2026-07-23,AGMARKNET-attributed observed market data,2026-08-26
AGM00060,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2050,2370,,,Quintal,2026-07-24,AGMARKNET-attributed observed market data,2026-08-26
AGM00061,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2100,2355,,,Quintal,2026-07-27,AGMARKNET-attributed observed market data,2026-08-26
AGM00062,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2050,2325,,,Quintal,2026-07-28,AGMARKNET-attributed observed market data,2026-08-26
AGM00063,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2000,2303,,,Quintal,2026-07-29,AGMARKNET-attributed observed market data,2026-08-26
AGM00064,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,600,2050,2400,,,Quintal,2026-07-30,AGMARKNET-attributed observed market data,2026-08-26
AGM00065,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,600,2050,2560,,,Quintal,2026-07-31,AGMARKNET-attributed observed market data,2026-08-26
AGM00066,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,600,2100,2501,,,Quintal,2026-08-03,AGMARKNET-attributed observed market data,2026-08-26
AGM00067,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,600,2150,2505,,,Quintal,2026-08-04,AGMARKNET-attributed observed market data,2026-08-26
AGM00068,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,600,2125,2552,,,Quintal,2026-08-05,AGMARKNET-attributed observed market data,2026-08-26
AGM00069,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,600,2200,2690,,,Quintal,2026-08-06,AGMARKNET-attributed observed market data,2026-08-26
AGM00070,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,600,2150,2525,,,Quintal,2026-08-07,AGMARKNET-attributed observed market data,2026-08-26
AGM00071,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,600,2200,2700,,,Quintal,2026-08-08,AGMARKNET-attributed observed market data,2026-08-26
AGM00072,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,600,2300,2752,,,Quintal,2026-08-10,AGMARKNET-attributed observed market data,2026-08-26
AGM00073,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,700,2475,2681,,,Quintal,2026-08-11,AGMARKNET-attributed observed market data,2026-08-26
AGM00074,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,900,2575,2953,,,Quintal,2026-08-12,AGMARKNET-attributed observed market data,2026-08-26
AGM00075,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1000,2775,3200,,,Quintal,2026-08-13,AGMARKNET-attributed observed market data,2026-08-26
AGM00076,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1000,2900,3251,,,Quintal,2026-08-14,AGMARKNET-attributed observed market data,2026-08-26
AGM00077,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1000,3250,3521,,,Quintal,2026-08-17,AGMARKNET-attributed observed market data,2026-08-26
AGM00078,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1200,3700,4116,,,Quintal,2026-08-18,AGMARKNET-attributed observed market data,2026-08-26
AGM00079,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1000,3600,4001,,,Quintal,2026-08-19,AGMARKNET-attributed observed market data,2026-08-26
AGM00080,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1000,3450,3952,,,Quintal,2026-08-20,AGMARKNET-attributed observed market data,2026-08-26
AGM00081,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1000,3600,4101,,,Quintal,2026-08-21,AGMARKNET-attributed observed market data,2026-08-26
AGM00082,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1000,3700,4020,,,Quintal,2026-08-22,AGMARKNET-attributed observed market data,2026-08-26
AGM00083,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1200,4300,4712,,,Quintal,2026-08-24,AGMARKNET-attributed observed market data,2026-08-26
AGM00084,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,1200,4000,4552,,,Quintal,2026-08-25,AGMARKNET-attributed observed market data,2026-08-26
